angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.17,,"[261, 86, 98, 152]",,0.0,,0.03,,0.39,,0.25,,0.09,,0.07,
0.09,,"[258, 85, 97, 147]",,0.0,,0.02,,0.54,,0.24,,0.06,,0.05,
0.08,,"[245, 95, 96, 134]",,0.0,,0.04,,0.2,,0.59,,0.08,,0.01,
0.08,,"[245, 95, 96, 134]",,0.0,,0.04,,0.2,,0.59,,0.08,,0.01,
0.13,,"[233, 89, 98, 146]",,0.0,,0.12,,0.31,,0.33,,0.05,,0.06,
0.22,,"[219, 86, 97, 137]",,0.0,,0.07,,0.15,,0.4,,0.14,,0.02,
0.22,,"[219, 86, 97, 137]",,0.0,,0.07,,0.15,,0.4,,0.14,,0.02,
0.09,,"[208, 90, 94, 135]",,0.02,,0.03,,0.49,,0.27,,0.03,,0.07,
0.13,,"[192, 83, 90, 133]",,0.0,,0.11,,0.42,,0.13,,0.05,,0.16,
0.13,,"[192, 83, 90, 133]",,0.0,,0.11,,0.42,,0.13,,0.05,,0.16,
0.14,,"[185, 86, 88, 130]",,0.0,,0.13,,0.19,,0.37,,0.07,,0.1,
0.08,,"[181, 85, 88, 130]",,0.0,,0.07,,0.15,,0.58,,0.05,,0.06,
0.08,,"[181, 85, 88, 130]",,0.0,,0.07,,0.15,,0.58,,0.05,,0.06,
0.09,,"[182, 84, 89, 129]",,0.0,,0.06,,0.24,,0.47,,0.06,,0.07,
0.18,,"[200, 92, 84, 121]",,0.0,,0.06,,0.09,,0.55,,0.08,,0.04,
0.18,,"[200, 92, 84, 121]",,0.0,,0.06,,0.09,,0.55,,0.08,,0.04,
0.08,,"[203, 85, 85, 124]",,0.0,,0.08,,0.19,,0.53,,0.06,,0.05,
0.11,,"[231, 75, 84, 121]",,0.0,,0.05,,0.15,,0.6,,0.05,,0.04,
0.39,,"[243, 63, 89, 122]",,0.0,,0.13,,0.05,,0.29,,0.11,,0.03,
0.12,,"[252, 80, 73, 106]",,0.0,,0.05,,0.12,,0.62,,0.03,,0.05,
0.12,,"[252, 80, 73, 106]",,0.0,,0.05,,0.12,,0.62,,0.03,,0.05,
0.25,,"[241, 82, 72, 103]",,0.0,,0.07,,0.18,,0.39,,0.07,,0.04,
0.25,,"[241, 82, 72, 103]",,0.0,,0.07,,0.18,,0.4,,0.07,,0.04,
0.17,,"[239, 77, 70, 106]",,0.0,,0.08,,0.14,,0.47,,0.09,,0.05,
0.11,,"[239, 72, 75, 106]",,0.0,,0.07,,0.28,,0.44,,0.05,,0.04,
0.3,,"[246, 73, 77, 108]",,0.0,,0.07,,0.15,,0.4,,0.04,,0.04,
0.3,,"[246, 73, 77, 108]",,0.0,,0.07,,0.15,,0.4,,0.04,,0.04,
0.43,,"[262, 59, 93, 126]",,0.01,,0.07,,0.01,,0.26,,0.21,,0.01,
0.25,,"[253, 62, 106, 148]",,0.0,,0.04,,0.05,,0.58,,0.07,,0.01,
0.25,,"[253, 62, 106, 148]",,0.0,,0.04,,0.05,,0.58,,0.07,,0.01,
0.28,,"[252, 64, 105, 145]",,0.0,,0.07,,0.05,,0.49,,0.11,,0.01,
0.16,,"[253, 68, 104, 142]",,0.0,,0.06,,0.09,,0.57,,0.1,,0.01,
0.16,,"[253, 68, 104, 142]",,0.0,,0.06,,0.09,,0.57,,0.1,,0.01,
0.14,,"[241, 59, 111, 145]",,0.0,,0.04,,0.07,,0.56,,0.18,,0.01,
0.38,,"[244, 63, 114, 149]",,0.0,,0.03,,0.16,,0.35,,0.07,,0.01,
0.38,,"[244, 63, 114, 149]",,0.0,,0.03,,0.16,,0.35,,0.07,,0.01,
0.2,,"[259, 72, 97, 134]",,0.0,,0.03,,0.07,,0.6,,0.09,,0.01,
0.28,,"[262, 74, 94, 131]",,0.0,,0.03,,0.05,,0.54,,0.09,,0.01,
0.28,,"[262, 74, 94, 131]",,0.0,,0.03,,0.05,,0.54,,0.09,,0.01,
0.22,,"[262, 77, 95, 128]",,0.0,,0.03,,0.07,,0.57,,0.1,,0.01,
0.23,,"[260, 78, 95, 129]",,0.0,,0.05,,0.04,,0.59,,0.09,,0.01,
0.23,,"[260, 78, 95, 129]",,0.0,,0.05,,0.04,,0.59,,0.09,,0.01,
